state_name,crop_name,apy_item_interval_start,temperature_recorded_date,state_temperature_max_val,state_temperature_min_val,state_rainfall_val,yield,FRL,Live Cap FRL,Level,Current Live Storage
Andhra Pradesh,potato,2012,05-06-2012,43.45,21.7,1.18,15.31692,337.152584,0.198465368,178.58375,0.291552152
Andhra Pradesh,potato,2012,06-06-2012,42.28,21.44,0.22,15.31692,337.152584,0.198465368,178.555,0.290153315
Andhra Pradesh,potato,2012,07-06-2012,42.77,21.32,0,15.31692,337.152584,0.198465368,178.52125,0.288802424
Andhra Pradesh,potato,2012,08-06-2012,42.58,21.53,0,15.31692,337.152584,0.198465368,178.4825,0.287608859
Andhra Pradesh,potato,2012,09-06-2012,40.89,21.79,5.02,15.31692,337.152584,0.198465368,178.45125,0.286482547
Andhra Pradesh,potato,2012,10-06-2012,39.62,22.12,0.72,15.31692,337.152584,0.198465368,178.42875,0.285412869
Andhra Pradesh,potato,2012,11-06-2012,39.43,21.08,0.17,15.31692,337.152584,0.198465368,178.39625,0.284117968
Andhra Pradesh,potato,2012,12-06-2012,39.72,21.25,0.78,15.31692,337.152584,0.198465368,178.36875,0.282675715
Andhra Pradesh,potato,2012,13-06-2012,38.85,20.75,3.28,15.31692,337.152584,0.198465368,178.31875,0.279648512
Andhra Pradesh,potato,2012,14-06-2012,39.25,21.35,2.35,15.31692,337.152584,0.198465368,178.28375,0.278017547
Andhra Pradesh,potato,2012,15-06-2012,39.82,21.61,0.75,15.31692,337.152584,0.198465368,178.26375,0.276578834
Andhra Pradesh,potato,2012,16-06-2012,37.19,21.4,3.06,15.31692,337.152584,0.198465368,178.24875,0.275532819
Andhra Pradesh,potato,2012,17-06-2012,36.89,21.48,1.69,15.31692,337.152584,0.198465368,178.225,0.274454948
Andhra Pradesh,potato,2012,18-06-2012,32.58,20.1,9.95,15.31692,337.152584,0.198465368,178.2125,0.273880616
Andhra Pradesh,potato,2012,19-06-2012,35.69,19.68,4.4,15.31692,337.152584,0.198465368,178.20625,0.273838141
Andhra Pradesh,potato,2012,20-06-2012,36.76,20.8,2.53,15.31692,337.152584,0.198465368,178.20375,0.273134156
Andhra Pradesh,potato,2012,21-06-2012,36.93,20.49,1,15.31692,337.152584,0.198465368,178.21375,0.27265074
Andhra Pradesh,potato,2012,22-06-2012,37.47,20.75,1.92,15.31692,337.152584,0.198465368,178.22,0.272006928
Andhra Pradesh,potato,2012,23-06-2012,38.53,20.64,0.14,15.31692,337.152584,0.198465368,178.21875,0.271445641
